,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Lata,0,IN,1556931435,56,30.78,78.62,19.93,11.92
377,Winnemucca,1,US,1556930739,15,40.97,-117.74,71.6,6.93
378,Nuuk,13,GL,1556927400,45,64.17,-51.74,46.4,12.75
379,Koutsouras,0,GR,1556931388,87,35.03,25.95,55.99,1.99
380,Kriel,0,ZA,1556930790,84,-26.26,29.26,48.99,1.66
381,Gondanglegi,10,ID,1556931436,81,-7.75,112.01,76.88,3.47
382,Florence,90,US,1556931428,83,34.8,-87.68,73.0,2.68
383,Concepcion del Oro,100,MX,1556931437,18,24.63,-101.42,74.93,13.82
384,Havre-Saint-Pierre,90,CA,1556928000,69,50.23,-63.6,39.2,2.24
385,Mirnyy,35,RU,1556931437,82,56.57,36.46,35.98,5.19
386,Lagoa,0,PT,1556931102,93,37.14,-8.45,64.0,6.93
387,Port Moresby,75,PG,1556928000,88,-9.47,147.16,80.6,11.41
388,Constitucion,75,MX,1556930416,10,23.99,-104.67,78.8,20.8
389,Talaban,1,IQ,1556928000,40,35.38,44.92,89.6,10.74
390,Nhamunda,84,BR,1556931438,98,-2.19,-56.71,75.73,1.66
391,Abong Mbang,100,CM,1556931439,97,3.98,13.18,70.24,1.74
392,Kontagora,100,NG,1556931439,61,10.4,5.47,84.33,5.19
393,Los Llanos de Aridane,90,ES,1556931356,63,28.66,-17.92,64.4,10.29
394,Camacha,75,PT,1556929800,59,33.08,-16.33,62.6,10.29
395,Talara,1,PE,1556931439,88,-4.58,-81.27,72.27,17.49
396,Ludvika,91,SE,1556931306,100,60.15,15.18,32.0,4.7
397,Grakhovo,75,RU,1556929800,100,56.05,51.96,51.8,13.42
398,El Tigre,98,VE,1556931440,59,8.89,-64.25,83.38,14.41
399,Iqaluit,20,CA,1556931161,85,63.75,-68.52,19.4,16.11
400,Conde,1,BR,1556931440,95,-11.81,-37.61,73.35,2.19
401,Moerai,100,PF,1556931440,70,-22.43,-151.33,75.67,16.33
402,Meulaboh,43,ID,1556931441,85,4.14,96.13,81.56,6.96
403,Nouadhibou,0,MR,1556928000,82,20.93,-17.03,64.4,14.99
404,Gravdal,7,NO,1556931423,60,59.79,5.78,39.2,21.92
405,Thinadhoo,100,MV,1556931441,77,0.53,72.93,84.51,11.25
406,Fort-Shevchenko,15,KZ,1556931441,79,44.51,50.26,56.66,12.84
407,Montepuez,57,MZ,1556931441,98,-13.13,39.0,67.18,3.83
408,Cururupu,57,BR,1556931442,97,-1.82,-44.87,74.34,2.06
409,Cabedelo,0,BR,1556928000,88,-6.97,-34.84,77.0,4.7
410,Teknaf,99,BD,1556931442,85,20.86,92.31,83.92,25.5
411,Salobrena,36,ES,1556931429,72,36.74,-3.59,60.01,2.24
412,Kysyl-Syr,0,RU,1556931442,79,63.9,122.77,32.02,6.17
413,Pacific Grove,1,US,1556931426,37,36.62,-121.92,78.8,17.22
414,Saint-Pierre,40,FR,1556931425,93,48.95,4.24,50.0,6.93
415,Sandnessjoen,75,NO,1556929200,93,66.02,12.63,35.6,4.7
416,Pitimbu,0,BR,1556928000,88,-7.47,-34.81,77.0,4.7
417,Bermejo,0,AR,1556931443,93,-22.73,-64.34,65.93,1.81
418,Riosucio,40,CO,1556928000,69,5.42,-75.7,77.0,2.24
419,Orthez,75,FR,1556931304,93,43.49,-0.77,51.8,5.82
420,Avera,75,US,1556931414,74,33.19,-82.53,80.6,4.7
421,Huamachuco,100,PE,1556931444,91,-7.82,-78.05,51.73,3.31
422,Kaili,79,ID,1556931444,93,-3.46,120.21,65.48,0.92
423,Alofi,90,NU,1556928000,83,-19.06,-169.92,78.8,12.75
424,Fort Nelson,90,CA,1556930760,68,58.81,-122.69,28.4,6.93
425,Jalu,5,LY,1556931445,20,29.03,21.55,77.17,9.93
426,Salimpur,9,IN,1556931445,30,28.13,76.28,82.49,3.69
427,Huancavelica,100,PE,1556931445,90,-12.79,-74.97,37.96,4.7
428,Teguldet,54,RU,1556931445,55,57.31,88.17,38.83,5.7
429,Enumclaw,1,US,1556931384,48,47.2,-121.99,64.99,4.7
430,Upata,78,VE,1556931446,68,8.02,-62.41,78.66,5.95
431,Kanel,0,SN,1556931446,14,15.49,-13.18,90.56,10.87
432,Melioratorov,20,RU,1556929800,63,57.21,65.61,51.8,11.18
433,Vao,15,EE,1556931446,76,59.1,26.19,29.41,8.03
434,Yerbogachen,81,RU,1556931446,87,61.28,108.01,36.36,12.1
435,Samarai,100,PG,1556931446,94,-10.62,150.67,77.83,4.47
436,Nanortalik,86,GL,1556931447,63,60.14,-45.24,40.91,3.49
437,Road Town,40,VG,1556931274,69,18.42,-64.62,79.0,9.17
438,Ocampo,23,PH,1556931447,65,13.56,123.37,85.19,3.11
439,Bundaberg,90,AU,1556930708,83,-24.87,152.35,75.0,5.82
440,Lodja,35,CD,1556931447,77,-3.52,23.6,74.07,1.48
441,Cherskiy,95,RU,1556931447,100,68.75,161.3,32.87,1.77
442,Hispania,75,CO,1556931019,77,5.8,-75.91,66.2,2.24
443,Puerto Colombia,75,CO,1556930821,78,10.99,-74.96,82.4,14.99
444,Ucluelet,20,CA,1556931026,71,48.94,-125.55,63.0,9.17
445,San Policarpo,45,PH,1556931448,72,12.18,125.51,82.76,5.08
446,Nenjiang,100,CN,1556931448,27,49.17,125.23,47.54,15.28
447,Hauterive,90,FR,1556931425,81,46.09,3.45,46.4,3.36
448,Fuzhou,75,CN,1556928000,42,26.08,119.3,66.2,6.71
449,Helena,1,US,1556930759,17,46.59,-112.04,64.4,14.99
450,Muroto,20,JP,1556928000,49,33.37,134.14,69.8,3.36
451,Saint Anthony,1,US,1556931339,20,43.97,-111.68,62.6,11.41
452,Hobyo,0,SO,1556931450,73,5.35,48.53,83.56,16.02
453,Moroto,65,UG,1556931450,68,2.53,34.66,72.38,2.66
454,Viedma,58,AR,1556931450,60,-40.81,-62.99,48.8,3.89
455,Sroda Wielkopolska,0,PL,1556931425,60,52.23,17.28,45.0,4.7
456,Abu Dhabi,0,AE,1556928000,88,24.47,54.37,77.0,2.24
457,Pangnirtung,89,CA,1556931450,76,66.15,-65.72,27.54,3.38
458,Staritsa,15,RU,1556931451,81,56.51,34.93,33.32,4.43
459,Gazimurskiy Zavod,100,RU,1556931451,75,51.55,118.33,34.4,8.77
460,Portland,75,US,1556931405,45,45.52,-122.67,70.0,9.17
461,Kutum,10,SD,1556931451,9,14.2,24.66,78.16,4.61
462,Kanniyakumari,100,IN,1556931451,76,8.08,77.57,84.17,21.59
463,Seymchan,65,RU,1556931451,99,62.93,152.39,34.54,2.28
464,Inirida,62,CO,1556931452,88,3.87,-67.92,78.37,2.84
465,Naryan-Mar,100,RU,1556931452,99,67.67,53.09,35.55,13.51
466,Bonanza,93,NI,1556931452,89,14.03,-84.62,74.63,3.42
467,Shelby,90,US,1556931208,30,48.51,-111.86,61.0,16.11
468,Piranhas,100,BR,1556931452,89,-16.43,-51.82,71.39,2.82
469,Genhe,100,CN,1556931453,70,50.78,121.52,31.75,7.9
470,Neiafu,75,TO,1556931600,74,-18.65,-173.98,78.8,5.82
471,Bubaque,0,GW,1556931453,69,11.28,-15.83,78.21,20.78
472,Jales,100,BR,1556931304,84,-20.27,-50.55,76.05,1.48
473,Paengaroa,1,NZ,1556931425,68,-37.83,176.42,68.0,4.05
474,Clearwater,1,US,1556931310,83,27.97,-82.8,80.01,7.11
475,Strezhevoy,90,RU,1556929800,100,60.73,77.6,39.2,8.95
476,Ust-Koksa,52,RU,1556931454,80,50.27,85.62,26.46,3.44
477,Borovskoy,92,KZ,1556931454,45,53.8,64.15,47.93,14.83
478,Taltal,1,CL,1556931454,77,-25.41,-70.49,62.48,1.16
479,Torbay,90,CA,1556930910,89,47.66,-52.73,37.4,19.46
480,Leh,87,IN,1556931454,59,34.16,77.58,18.61,4.7
481,Auki,100,NG,1556931454,54,12.18,6.51,86.45,7.52
482,Glamsbjerg,40,DK,1556931395,80,55.27,10.1,39.2,10.29
483,Goya,96,AR,1556931455,92,-29.14,-59.27,73.67,2.82
484,Maravilha,73,BR,1556931455,97,-26.76,-53.17,69.89,3.56
485,Porto Nacional,87,BR,1556931455,74,-10.7,-48.41,79.13,2.17
486,Quzhou,35,CN,1556931456,50,28.97,118.86,65.18,4.25
487,Lukovetskiy,75,RU,1556929800,69,64.29,41.92,33.8,8.95
488,Kasane,0,BW,1556931456,56,-17.8,25.16,61.81,3.8
489,Namibe,22,AO,1556931456,79,-15.19,12.15,72.32,5.35
490,San Luis,90,AR,1556931435,78,-33.3,-66.34,66.0,12.62
491,Rayachoti,99,IN,1556931457,44,14.06,78.75,82.13,7.61
492,Christchurch,41,NZ,1556931184,72,-43.53,172.64,73.0,9.17
493,Rocha,11,UY,1556931457,94,-34.48,-54.34,57.11,3.42
494,Vitim,89,RU,1556931457,70,59.44,112.57,33.98,9.22
495,Belaya Gora,100,RU,1556931458,97,68.54,146.19,31.72,1.99
496,Talcahuano,90,CL,1556928000,100,-36.72,-73.12,57.2,10.29
497,Lasa,0,CY,1556929800,87,34.92,32.53,60.8,8.05
498,Berezovyy,100,RU,1556931458,46,51.67,135.7,52.25,3.33
499,Geraldton,75,CA,1556928000,49,49.72,-86.95,46.4,4.7
500,Irtyshskiy,70,RU,1556931459,85,58.33,68.13,46.13,9.35
501,Mahibadhoo,100,MV,1556931459,75,3.78,72.97,84.64,9.4
502,Katete,100,UG,1556931459,83,-0.78,29.75,64.62,2.48
503,Rena,49,NO,1556930028,81,61.13,11.37,27.0,8.14
504,Cap Malheureux,75,MU,1556931241,83,-19.98,57.61,73.4,14.99
505,Acajutla,0,SV,1556926230,71,13.59,-89.83,82.99,5.48
506,Omsukchan,92,RU,1556931459,100,62.53,155.8,29.59,2.98
507,Saint-Leu,90,RE,1556930825,61,-21.15,55.28,77.0,16.11
508,Havelock,20,US,1556931222,83,34.88,-76.9,75.2,9.17
509,Ola,3,RU,1556931460,57,59.58,151.3,37.71,12.86
510,Lorengau,100,PG,1556931460,92,-2.02,147.27,77.96,10.71
511,Klaksvik,77,FO,1556931000,69,62.23,-6.59,35.6,19.46
512,Cockburn Town,51,TC,1556931245,80,21.46,-71.14,79.61,21.43
513,Moron,52,VE,1556931461,86,10.49,-68.2,77.36,4.94
514,Mayo,75,CA,1556928000,14,63.59,-135.9,41.0,4.7
515,Buloh Kasap,75,MY,1556928000,88,2.55,102.76,78.8,0.76
516,Kainan,0,JP,1556929800,59,34.15,135.21,71.6,5.82
517,Dongsheng,98,CN,1556931461,47,29.72,112.52,73.13,1.88
518,Buraydah,40,SA,1556928000,94,26.33,43.97,69.8,6.93
519,Pontiac,90,US,1556931172,76,42.64,-83.29,52.0,4.7
520,Severobaykalsk,7,RU,1556931462,80,55.65,109.32,18.99,3.44
521,Tucupita,77,VE,1556931462,66,9.06,-62.05,82.22,8.93
522,Knokke-Heist,100,BE,1556931317,87,51.33,3.33,45.0,9.17
523,Tabuk,17,PH,1556931462,66,17.41,121.44,74.43,0.02
524,Sur,0,OM,1556931463,28,22.57,59.53,83.68,7.18
525,Birao,76,CF,1556931463,31,10.3,22.78,87.52,1.72
526,Atbasar,12,KZ,1556931463,47,51.81,68.36,41.06,8.3
527,Mehamn,100,NO,1556931255,80,71.03,27.85,26.75,4.7
528,Gornopravdinsk,63,RU,1556931463,94,60.06,69.92,39.42,6.98
529,Nyurba,0,RU,1556931463,71,63.29,118.35,34.2,7.09
530,Maryborough,100,AU,1556931463,91,-25.54,152.7,70.72,5.44
531,Alizai,5,PK,1556928000,63,33.94,71.55,66.2,4.16
532,Adrar,0,DZ,1556928000,13,27.87,-0.29,75.2,5.82
533,Anadyr,0,RU,1556931187,74,64.73,177.51,35.6,11.18
534,Port Hawkesbury,75,CA,1556931359,60,45.62,-61.36,45.0,2.24
535,Udachnyy,90,RU,1556928000,68,66.42,112.4,28.4,8.95
536,Port Hedland,1,AU,1556929800,21,-20.31,118.58,82.4,16.11
537,Gat,75,SN,1556929800,88,14.69,-16.54,66.2,12.75
538,Kahului,75,US,1556931128,65,20.89,-156.47,82.4,14.99
539,San Patricio,20,PY,1556931465,90,-26.98,-56.83,74.68,3.56
540,Zhigansk,64,RU,1556931465,88,66.77,123.37,26.59,11.05
541,Giaveno,75,IT,1556931385,87,45.04,7.35,55.0,2.24
542,Fairbanks,90,US,1556931170,52,64.84,-147.72,44.01,9.17
543,Mahabaleshwar,56,IN,1556931466,89,17.92,73.66,68.78,1.9
544,Anloga,20,GH,1556928000,88,5.79,0.9,82.4,8.05
545,Libourne,0,FR,1556931429,87,44.91,-0.24,48.99,4.7
546,Yatou,100,CM,1556931466,79,3.63,9.81,84.31,9.37
547,Quang Ngai,35,VN,1556931466,64,15.12,108.8,82.33,1.74
548,Outjo,0,NA,1556928000,27,-20.11,16.16,66.2,3.36
549,Aberystwyth,28,GB,1556931020,83,52.41,-4.08,43.0,7.0
550,Buenos Aires,0,AR,1556931300,52,-34.61,-58.44,71.01,9.17
551,Severnyy-Kospashskiy,99,RU,1556930421,99,59.09,57.8,44.01,3.0
552,Gilgit,11,PK,1556931468,72,35.92,74.31,24.53,1.88
553,Smithers,75,CA,1556928000,44,54.78,-127.17,57.2,17.22
554,Tilichiki,31,RU,1556931468,57,60.47,166.1,38.9,11.14
555,Souillac,0,FR,1556931429,87,45.6,-0.6,48.99,5.82
556,San Martin,1,US,1556931367,24,37.08,-121.61,78.8,12.75
557,Harrison,90,US,1556931363,82,39.26,-84.82,68.0,8.05
558,La Peca,55,PE,1556931469,58,-5.61,-78.44,71.5,2.19
559,Benjamin Constant,40,BR,1556928000,100,-4.38,-70.03,78.8,1.3
560,Letlhakane,0,BW,1556931469,36,-21.42,25.59,64.35,6.85
561,Kandi,99,BJ,1556931469,48,11.13,2.93,90.2,6.31
562,Dubbo,0,AU,1556928000,51,-32.25,148.6,62.6,12.75
